Sample ID	Log-likelihood ratio	Predicted tumor burden	Predicted sample class
Br66_rep7_Dep6_Tu50	2.6701620109032356E-4	0.56	breast cancer
Br66_rep4_Dep6_Tu40	2.2158150545263135E-4	0.49	breast cancer
Br66_rep8_Dep6_Tu5	4.4375664368487695E-5	0.16	breast cancer
Br66_rep9_Dep6_Tu2	3.364549573779684E-5	0.15	ovarian cancer
Br66_rep6_Dep6_Tu30	1.7345655049035626E-4	0.42	breast cancer
Br66_rep4_Dep6_Tu0.1	2.7516719697755217E-5	0.13	ovarian cancer
Br66_rep5_Dep6_Tu10	6.928766412119199E-5	0.22	breast cancer
Br66_rep3_Dep6_Tu40	2.2864199729632714E-4	0.49	breast cancer
Br66_rep9_Dep6_Tu0.5	2.6263188459061727E-5	0.15	ovarian cancer
Br66_rep8_Dep6_Tu2	3.154941333778976E-5	0.15	breast cancer
Br66_rep10_Dep6_Tu2	3.1924757522768297E-5	0.15	ovarian cancer
Br66_rep6_Dep6_Tu0.1	2.793045141841544E-5	0.13	ovarian cancer
Br66_rep5_Dep6_Tu0.5	2.7227874626380078E-5	0.15	ovarian cancer
Br66_rep2_Dep6_Tu20	1.2913981303297304E-4	0.34	breast cancer
